"path","category","source","source_sha256","export_strategy","symbol","frame","output_sha256","bytes"
"scene/pasture/default/plant-3.png","scene/pasture","mc/farm/diy/z1_105_1.swf","ceb2131b0d29961b6d1630bfef19422ae0b9977ccfbf17e66cdc1a6533abeb53","embedded-image","16.png","","10269ef3581c773fb611ee4a1182c6d8664b72980bbdad268d5732f5a3028485","2559"
"scene/pasture/default/plant-4.png","scene/pasture","mc/farm/diy/z1_105_1.swf","ceb2131b0d29961b6d1630bfef19422ae0b9977ccfbf17e66cdc1a6533abeb53","embedded-image","17.png","","dfafa65b2a4c985f369a87829246be1b7cd877892fbdb614563448855be71577","4183"
"scene/pasture/default/plant-5.png","scene/pasture","mc/farm/diy/z1_105_1.swf","ceb2131b0d29961b6d1630bfef19422ae0b9977ccfbf17e66cdc1a6533abeb53","embedded-image","18.png","","c770f0da2d7fbee0c6221ec09524c34885b6dae28fb5455a75117080786f932a","9426"
"scene/pasture/default/fence.png","scene/pasture","mc/farm/diy/z1_105_1.swf","ceb2131b0d29961b6d1630bfef19422ae0b9977ccfbf17e66cdc1a6533abeb53","embedded-image","20.png","","f20639e4f80fa2f501d885c49be286642151383b6fcbe73545cc9b134870218c","57462"
"scene/pasture/cinema.png","scene/pasture","mc/farm/diy/z1_224_1.swf","b910ac1d029a0679ca2b1595eca664bf65cbb1d37433f77cbdffbe07268fa20a","content-bounds","root","1","de514614977292c1ca5059e11656f57b7ebd0fc1f93f28dffc197e2ef2ef0f67","1647651"
"scene/pasture/hutch/1.png","scene/pasture","mc/farm/diy/z2_102_1.swf","fd4e14c0ecf116ca3bae87a08a01c670460322dca9e3a6de3de433647e6050fa","content-bounds","root","1","ffc540eaed3ae85c61179dbdd09f27a076667409e6a42886658024ed87daa90b","49498"
"scene/pasture/shed/1.png","scene/pasture","mc/farm/diy/z3_103_1.swf","f894207c1b2aa4a496136c27bb85047646637fd142f9e9c188e91007e59a3711","content-bounds","root","1","57ac17d23f10a69a9a4a26d4ab969d94a57fb81823a9e19233901dadd57246c8","73802"
"scene/pasture/hutch/2.png","scene/pasture","mc/farm/diy/z2_102_2.swf","412aa4605e445794cc0c6d42ddc7bd7b7d8e0165292be030fab53e6b000228cd","content-bounds","root","1","8c39839d715e0e351b91c59d35a5a2bd482cadd19360774e632571fa92fe14ff","76353"
"scene/pasture/shed/2.png","scene/pasture","mc/farm/diy/z3_103_2.swf","4772b76919a6b5f01f7712d7eed1b23323f7267ff13f7d76f698ff5ae0ac7cf0","content-bounds","root","1","ac3897f6dd72b14bd3bfcee235476a87d59dfc88c08f9f0b95996826485a363d","66779"
"scene/pasture/hutch/3.png","scene/pasture","mc/farm/diy/z2_102_3.swf","df835a7aaa81ab59d9d597b8e10a203eeafe2245b70fe9aae6bd482fc12c6b98","content-bounds","root","1","b71f2b9f34bab7e205ec218ad0aeb0c16ee5d449849952610a7a93247c442b0d","86607"
"scene/pasture/shed/3.png","scene/pasture","mc/farm/diy/z3_103_3.swf","a6369e2da6a4c9f1ae3b7ae31bbe97db3f2656539898ad608b473252a514a6a2","content-bounds","root","1","0a05857175dad8f126ae5148ba17cdf4d1486461262f903ace26aa49a6300e5c","79910"
"scene/pasture/hutch/4.png","scene/pasture","mc/farm/diy/z2_102_4.swf","652bb686865bd25f37c4d1fc8e21d3e879795f6ade802d5289922e0b5f254295","content-bounds","root","1","af4214fc01dc3546500ed4897c0520c593ed738a02c311a0493054d3c81e9a5b","94764"
