"source_id","name","original_level","runtime_status","state_key","state_label","source_class","source_character_id","source_export_file","source_sha256","exported_frame_count","width","height","visible_pixels","visible_x","visible_y","visible_width","visible_height","automated_status","visual_review_status"
"1015","乌骨鸡","14","1","cub","幼年","Animal_1015_1","88","a1015.swf/DefineSprite_88_Animal_1015_1/1.png","fc927ce00defbf97acf49c0cb1e9908d89cdcc35870330fe90cb731d2e28cd67","1","32","43","698","3","2","26","35","ready-for-visual-review","reviewed-ok"
"1015","乌骨鸡","14","2","growing","成长","Animal_1015_2","77","a1015.swf/DefineSprite_77_Animal_1015_2/1.png","7e3f70e15b5d7eea048ae6a823dbd962f0adf6c63b6a361da06c946a564589d3","1","53","69","1748","5","1","44","60","ready-for-visual-review","reviewed-ok"
"1015","乌骨鸡","14","3","ready_to_produce","成熟待生产","Animal_1015_3","66","a1015.swf/DefineSprite_66_Animal_1015_3/1.png","76d7fb363d3d45b6ca2842b20a5078807a35a9dae610d92bc7db67f28280f63b","1","89","116","5713","12","0","77","115","ready-for-visual-review","reviewed-ok"
"1015","乌骨鸡","14","4","production_early","生产阶段一","Animal_1015_4","41","a1015.swf/DefineSprite_41_Animal_1015_4/1.png","423079f7526a590f41bd16ccae5852eb8a26b4e62429dcaae4beb51891e1024e","1","55","85","1961","5","1","46","74","ready-for-visual-review","reviewed-ok"
"1015","乌骨鸡","14","5","production_late","生产阶段二","Animal_1015_5","38","a1015.swf/DefineSprite_38_Animal_1015_5/1.png","146f676397e345c1ff2841a37aaa1afd23ff3f536cad4f221f837127a25b2bbf","1","64","90","3011","6","2","53","78","ready-for-visual-review","reviewed-ok"
"1015","乌骨鸡","14","6","lifecycle_complete","生命周期结束","Animal_1015_6","102","a1015.swf/DefineSprite_102_Animal_1015_6/1.png","18e889066f54a6a826dff5c996ddc8198b31eed003aec3c3e608a6d5f61cfdeb","1","66","92","2910","6","4","55","78","ready-for-visual-review","reviewed-ok"
"1507","羚羊","15","1","cub","幼年","Animal_1507_1","85","a1507.swf/DefineSprite_85_Animal_1507_1/1.png","ae596188ce79ee914f3fa8fbdb409fa34b095d589f1af26b2ff17106deceff33","1","63","94","3962","7","1","56","90","ready-for-visual-review","reviewed-ok"
"1507","羚羊","15","2","growing","成长","Animal_1507_2","144","a1507.swf/DefineSprite_144_Animal_1507_2/1.png","3cc53ee79f6faad8528182ac6da68762a02b93a39835ef311a74722685ac63f9","1","84","117","6662","8","5","74","111","ready-for-visual-review","reviewed-ok"
"1507","羚羊","15","3","ready_to_produce","成熟待生产","Animal_1507_3","226","a1507.swf/DefineSprite_226_Animal_1507_3/1.png","63c199aaf6aa72eea6b61205c0a33c18b2622368492467a38ae16d3cf8b53820","1","111","162","11322","0","0","110","161","ready-for-visual-review","reviewed-ok"
"1507","羚羊","15","4","production_early","生产阶段一","Animal_1507_4","235","a1507.swf/DefineSprite_235_Animal_1507_4/1.png","7dc8278b177544de4f957e43a3d7dc8a805f2167e3f41eccca66bba390393147","1","78","83","3331","1","0","74","81","ready-for-visual-review","reviewed-ok"
"1507","羚羊","15","5","production_late","生产阶段二","Animal_1507_5","196","a1507.swf/DefineSprite_196_Animal_1507_5/1.png","63b5028aa9ce0f28d33b76c7ddc7c5590d983d9de0611a627fefac8d25e31e57","1","87","141","9193","3","2","82","138","ready-for-visual-review","reviewed-ok"
"1507","羚羊","15","6","lifecycle_complete","生命周期结束","Animal_1507_6","233","a1507.swf/DefineSprite_233_Animal_1507_6/1.png","9d2f72564912c7b0fb1f845f59ee2a4917c40dd7d4562b0bd231fa0e32704e35","1","94","141","9606","2","2","90","138","ready-for-visual-review","reviewed-ok"
"1510","长颈鹿","16","1","cub","幼年","Animal_1510_1","94","a1510.swf/DefineSprite_94_Animal_1510_1/1.png","6cde1e8dfb853b04f6ad135062b5bb95b95234b46413e1c502c074ea948d5c3d","1","73","79","2602","15","0","57","74","ready-for-visual-review","reviewed-ok"
"1510","长颈鹿","16","2","growing","成长","Animal_1510_2","165","a1510.swf/DefineSprite_165_Animal_1510_2/1.png","27877ead49cd5b31c04e0c759a1398de7e7f013f0a2616572604ffaad54e5544","1","108","129","5985","30","0","76","121","ready-for-visual-review","reviewed-ok"
"1510","长颈鹿","16","3","ready_to_produce","成熟待生产","Animal_1510_3","275","a1510.swf/DefineSprite_275_Animal_1510_3/1.png","5f73c43003620e6a3b6b12fcc168aa2deec88455c868ea07a6a0c5c8dba67c7d","1","146","198","12723","37","0","108","197","ready-for-visual-review","reviewed-ok"
"1510","长颈鹿","16","4","production_early","生产阶段一","Animal_1510_4","285","a1510.swf/DefineSprite_285_Animal_1510_4/1.png","1b8cc1b28a170b8bddee104e4f91ad6619f65a946212cdd377816c6924acfd47","1","100","150","5765","0","1","99","149","ready-for-visual-review","reviewed-ok"
"1510","长颈鹿","16","5","production_late","生产阶段二","Animal_1510_5","252","a1510.swf/DefineSprite_252_Animal_1510_5/1.png","c7dcb253c12f97bea566ed8f43aa3126a43f928647c7953e875a0463a16a6fca","1","138","169","9942","35","1","99","159","ready-for-visual-review","reviewed-ok"
"1510","长颈鹿","16","6","lifecycle_complete","生命周期结束","Animal_1510_6","283","a1510.swf/DefineSprite_283_Animal_1510_6/1.png","c24eeebce5f2a8fc46cb2077f85dc22040b676d7cfcf75072dbd643cc1cab17d","1","135","152","9556","34","2","98","150","ready-for-visual-review","reviewed-ok"
"1010","仓鼠","17","1","cub","幼年","Animal_1010_1","189","a1010.swf/DefineSprite_189_Animal_1010_1/1.png","d965165cb160e29b3f3ca1b244e4db3a108de46453adf3de4ca051a6171661bf","1","41","56","999","2","21","38","35","ready-for-visual-review","reviewed-ok"
"1010","仓鼠","17","2","growing","成长","Animal_1010_2","185","a1010.swf/DefineSprite_185_Animal_1010_2/1.png","d6e1f9f1a47c13bf0d6df2756ff8c3dd208fbf4ffbe3448c86cf317749bb3b89","1","51","69","1512","2","26","47","42","ready-for-visual-review","reviewed-ok"
"1010","仓鼠","17","3","ready_to_produce","成熟待生产","Animal_1010_3","147","a1010.swf/DefineSprite_147_Animal_1010_3/1.png","92464c99c7b0aad27a7e8d74bb6a4a51b79e6d4f186d633a15e489b9a6f5715c","1","111","125","3457","21","43","77","81","ready-for-visual-review","reviewed-ok"
"1010","仓鼠","17","4","production_early","生产阶段一","Animal_1010_4","36","a1010.swf/DefineSprite_36_Animal_1010_4/1.png","11d3fa89033f85256307df0f559684297727669c4e3c24fdb2c344bd9475c7b5","1","39","40","1168","0","0","39","40","ready-for-visual-review","reviewed-ok"
"1010","仓鼠","17","5","production_late","生产阶段二","Animal_1010_5","157","a1010.swf/DefineSprite_157_Animal_1010_5/1.png","e8c2dbf5d1314592edc629535f846380981807d1dcfa944cc1284d93f2351849","1","61","89","2166","2","38","57","51","ready-for-visual-review","reviewed-ok"
"1010","仓鼠","17","6","lifecycle_complete","生命周期结束","Animal_1010_6","118","a1010.swf/DefineSprite_118_Animal_1010_6/1.png","6851e84ebc246fac7b088022c80d6618e393026718de74e80ff59a378ee92e9f","1","61","89","2180","2","38","57","51","ready-for-visual-review","reviewed-ok"
"1013","鼹鼠","18","1","cub","幼年","Animal_1013_1","93","a1013.swf/DefineSprite_93_Animal_1013_1/1.png","5afce88b0b96b3a67ff1cdae67e1a79446d970014e9d5da4f905dfb6762653c1","1","43","42","687","5","6","32","27","ready-for-visual-review","reviewed-ok"
"1013","鼹鼠","18","2","growing","成长","Animal_1013_2","71","a1013.swf/DefineSprite_71_Animal_1013_2/1.png","ee5a2e32953e65e8b9f6a7fcfcb9d6d5c1e730f8c38a1fa2a8467288e87d20d5","1","70","57","1781","8","2","58","41","ready-for-visual-review","reviewed-ok"
"1013","鼹鼠","18","3","ready_to_produce","成熟待生产","Animal_1013_3","70","a1013.swf/DefineSprite_70_Animal_1013_3/1.png","68273bacd64d01e496daa50832b3615c5d7815c6ac0558d9ce26d414aae4444f","1","111","125","6112","11","18","96","102","ready-for-visual-review","reviewed-ok"
"1013","鼹鼠","18","4","production_early","生产阶段一","Animal_1013_4","95","a1013.swf/DefineSprite_95_Animal_1013_4/1.png","841b4efc0efc6f3d3729eb64f176cd4792435bbff2fe59da521f2b16eaf5c915","1","73","57","2587","0","2","69","50","ready-for-visual-review","reviewed-ok"
"1013","鼹鼠","18","5","production_late","生产阶段二","Animal_1013_5","49","a1013.swf/DefineSprite_49_Animal_1013_5/1.png","6ad1653ec83bdfce29b9459c31ef98f6bb4d1d463709cbf79be1317a08bd8f13","1","95","77","3266","10","4","80","54","ready-for-visual-review","reviewed-ok"
"1013","鼹鼠","18","6","lifecycle_complete","生命周期结束","Animal_1013_6","37","a1013.swf/DefineSprite_37_Animal_1013_6/1.png","fb6f9bd37a09ab39b4942fd7105c3d2dc2b1ebc0635765d558d0806a7286b8b3","1","94","77","3298","10","3","79","55","ready-for-visual-review","reviewed-ok"
"1508","鸵鸟","19","1","cub","幼年","Animal_1508_1","166","a1508.swf/DefineSprite_166_Animal_1508_1/1.png","23bb0d3578abf27be65b96501edc70dc88c1930914b70027e14f33db2b54a61d","1","57","63","1429","12","1","35","61","ready-for-visual-review","reviewed-ok"
"1508","鸵鸟","19","2","growing","成长","Animal_1508_2","155","a1508.swf/DefineSprite_155_Animal_1508_2/1.png","4016454d343c2d8715460bea4cf990288f8c05db2fe9fe72618d84bfad3ab77f","1","82","86","2797","15","1","51","84","ready-for-visual-review","reviewed-ok"
