"source_id","runtime_id","name","runtime_stage","runtime_stage_key","linked_state_index","linked_state_key","source_character_id","source_relationship","source_export_file","source_sha256","runtime_asset","runtime_sha256","visual_review_status","processing_status"
"77","legacy-77","蓝莓","5","mature","5","mature","31","state-character","Crop_77.swf/DefineSprite_31/1.png","ad913dc953c96a84f945150f443f0a7d85b735949d62f56b21176c3ed3c2caf9","apps/web/public/assets/manor/classic/crops/77/mature.png","ad913dc953c96a84f945150f443f0a7d85b735949d62f56b21176c3ed3c2caf9","reviewed-ok","ready"
"77","legacy-77","蓝莓","6","withered","6","withered","33","state-character","Crop_77.swf/DefineSprite_33/1.png","cf073777cbc71b94e578098c3e139b7b255f65e041b8c8c1728cfd5a5153fb3e","apps/web/public/assets/manor/classic/crops/77/withered.png","cf073777cbc71b94e578098c3e139b7b255f65e041b8c8c1728cfd5a5153fb3e","reviewed-ok","ready"
"76","legacy-76","山竹","0","seed","0","seed","6","state-character","Crop_76.swf/DefineSprite_6/1.png","9e2beea178a319b56ef9374db2cab1e338b4629fcd40a168167b5be7b0b5b611","apps/web/public/assets/manor/classic/crops/76/seed.png","9e2beea178a319b56ef9374db2cab1e338b4629fcd40a168167b5be7b0b5b611","reviewed-ok","ready"
"76","legacy-76","山竹","1","sprout","1","sprout","8","state-character","Crop_76.swf/DefineSprite_8/1.png","287eb54108ef53e536f41aa6e842d33623f2c11a443e39ed81c0449b83ae99e7","apps/web/public/assets/manor/classic/crops/76/sprout.png","287eb54108ef53e536f41aa6e842d33623f2c11a443e39ed81c0449b83ae99e7","reviewed-ok","ready"
"76","legacy-76","山竹","2","young","2","young","10","state-character","Crop_76.swf/DefineSprite_10/1.png","9c82a9e32c4961ab1bea1f19407e5003d3f272f9fdb85080fada135ae9a05cd3","apps/web/public/assets/manor/classic/crops/76/young.png","9c82a9e32c4961ab1bea1f19407e5003d3f272f9fdb85080fada135ae9a05cd3","reviewed-ok","ready"
"76","legacy-76","山竹","3","growing","3","growing","12","state-character","Crop_76.swf/DefineSprite_12/1.png","b55d57b067fcbbbc44af217b2bbb9c7e551f8e17b5d713ab00b417680640663b","apps/web/public/assets/manor/classic/crops/76/growing.png","b55d57b067fcbbbc44af217b2bbb9c7e551f8e17b5d713ab00b417680640663b","reviewed-ok","ready"
"76","legacy-76","山竹","4","pre_mature","4","pre_mature","15","state-character","Crop_76.swf/DefineSprite_15/1.png","f5fbbfec29f5ec17e21c7bebe3534b962ddbbe7cd9d378a1a940b3e578070289","apps/web/public/assets/manor/classic/crops/76/pre_mature.png","f5fbbfec29f5ec17e21c7bebe3534b962ddbbe7cd9d378a1a940b3e578070289","reviewed-ok","ready"
"76","legacy-76","山竹","5","mature","5","mature","18","state-character","Crop_76.swf/DefineSprite_18/1.png","9218af005a49db8066cd9cbe711505b9d01dcdd681ade10a323b4d53e40f9823","apps/web/public/assets/manor/classic/crops/76/mature.png","9218af005a49db8066cd9cbe711505b9d01dcdd681ade10a323b4d53e40f9823","reviewed-ok","ready"
"76","legacy-76","山竹","6","withered","6","withered","20","state-character","Crop_76.swf/DefineSprite_20/1.png","cf073777cbc71b94e578098c3e139b7b255f65e041b8c8c1728cfd5a5153fb3e","apps/web/public/assets/manor/classic/crops/76/withered.png","cf073777cbc71b94e578098c3e139b7b255f65e041b8c8c1728cfd5a5153fb3e","reviewed-ok","ready"
"80","legacy-80","月柿","0","seed","0","seed","2","state-character","Crop_80.swf/DefineSprite_2/1.png","b86109a53c1dff6f41b3d50e721499ff1b218012d866033303793bc41d1f9804","apps/web/public/assets/manor/classic/crops/80/seed.png","b86109a53c1dff6f41b3d50e721499ff1b218012d866033303793bc41d1f9804","reviewed-ok","ready"
"80","legacy-80","月柿","1","sprout","1","sprout","4","state-character","Crop_80.swf/DefineSprite_4/1.png","0889fd63bf7cf3202af749d8149b02d9f824038bac0660f5e4840c7efa541730","apps/web/public/assets/manor/classic/crops/80/sprout.png","0889fd63bf7cf3202af749d8149b02d9f824038bac0660f5e4840c7efa541730","reviewed-ok","ready"
"80","legacy-80","月柿","2","young","2","young","15","state-character","Crop_80.swf/DefineSprite_15/1.png","50c811a28fb3e3826b2d733531ea573bfa8d72b1b684cba948ae02adf9c7dd1c","apps/web/public/assets/manor/classic/crops/80/young.png","50c811a28fb3e3826b2d733531ea573bfa8d72b1b684cba948ae02adf9c7dd1c","reviewed-ok","ready"
"80","legacy-80","月柿","3","growing","3","growing","22","state-character","Crop_80.swf/DefineSprite_22/1.png","c999c34820ce33cee25194f6875cfb484a85215af59b0bf6fac14384c0ee7fe7","apps/web/public/assets/manor/classic/crops/80/growing.png","c999c34820ce33cee25194f6875cfb484a85215af59b0bf6fac14384c0ee7fe7","reviewed-ok","ready"
"80","legacy-80","月柿","4","pre_mature","4","pre_mature","28","state-character","Crop_80.swf/DefineSprite_28/1.png","10ec031ec45599305036e3fb0102f402134c4bf5eecc6dfb51bbb915cc6ab19d","apps/web/public/assets/manor/classic/crops/80/pre_mature.png","10ec031ec45599305036e3fb0102f402134c4bf5eecc6dfb51bbb915cc6ab19d","reviewed-ok","ready"
"80","legacy-80","月柿","5","mature","5","mature","32","state-character","Crop_80.swf/DefineSprite_32/1.png","b8f974c21c1489a41c6f9353301353d16a2992ea78761bf56416f3c22286afa1","apps/web/public/assets/manor/classic/crops/80/mature.png","b8f974c21c1489a41c6f9353301353d16a2992ea78761bf56416f3c22286afa1","reviewed-ok","ready"
"80","legacy-80","月柿","6","withered","6","withered","34","state-character","Crop_80.swf/DefineSprite_34/1.png","d6a6f31b306ea0342f210da30b05bb6dc4cdfd731ac7353489f434a30c6b1bba","apps/web/public/assets/manor/classic/crops/80/withered.png","d6a6f31b306ea0342f210da30b05bb6dc4cdfd731ac7353489f434a30c6b1bba","reviewed-ok","ready"
"63","legacy-63","苦瓜","0","seed","0","seed","2","state-character","Crop_63.swf/DefineSprite_2/1.png","db64a2423bcb9185ca003d386c22654cd570c0c817515db055cea33e28d4a10e","apps/web/public/assets/manor/classic/crops/63/seed.png","db64a2423bcb9185ca003d386c22654cd570c0c817515db055cea33e28d4a10e","reviewed-ok","ready"
